review_id,rating,body,app_version
2c27bf42-153b-4426-81c4-676362dd3d30,1,Really disappointed..Purchased for the first time from this app and will never use it again I bought MAYBELLINE LIP VINYL lipstick in the shade LIPPY.. Which was shown as a reddish maroon shade in the picture.. When I received the product it was a totally different shade of pink color which clearly resembles with their shade COY which doesn't suit my skin tone.. Although the shade name written was LIPPY.. They might be selling fake products.. There can not be so much color difference from pictur,3.5.0
8b6f643d-261d-4846-854c-f57b78c70053,5,good experience. liking it,3.8.0
0b1df412-4d9b-4701-bcc7-1523153bbe62,1,All old stock products.,1.1.0
e3f6d274-52a5-4d1d-9b0d-2bddc8211a6e,1,everything that I wanted to buy was out of stock 🥲,3.8.0
a1719de0-0221-42bf-b38a-24cbb147c81d,5,i love Tira app..very best skin care products...i love it...,4.6.0
42d8dc29-a6c0-4b29-92d2-2df6fcf98caa,5,N. Nii the n. Mnlnn Mm,1.0.6
7bfaf935-68bc-4165-82de-006d0fbcda2f,5,Nice one haha,1.1.0
e085df4e-b129-4068-aee3-a225285f85b6,5,love it,5.5.0
80de7ea5-cda5-414f-a858-d02f7601b0c4,5,Good app,1.0.1
defc80bc-8e34-4802-beb5-f88b7c1ec479,1,"Tira is honestly the worst shopping app I’ve used. The prices keep changing and the coupons never work properly. For many products, the displayed MRP and the checkout price are completely different. For example, the Philips Duo was shown at ₹3,736 MRP, and with a coupon, it displayed ₹2,898 — but when I actually tried to buy it, the checkout page showed ₹4,787 MRP! This has happened multiple times on different products. Tira really needs to fix this issue — it’s misleading and frustrating for",3.8.0
e4ba18f5-07b9-433d-8e50-29afd1750ecc,1,Disgusting customer care service...refund system is a trash ....very unsatisfied tira...most disgusting app,1.0.6
a20d98b8-58f3-49df-8295-4f2790116f53,5,Such nice app for branded mackup 😍,1.7.1
0fd97b76-deb4-472a-ad5e-85d4daedd774,4,Amazing,3.5.0
474a243f-003b-4190-8c92-721cffd32edc,1,"Never buy anything from this website, i ordered Bobbi Brown face base which was not on discount even, they gave me 500 off on my first order and I got duplicate product. The texture and fragrance of the product is totally different which i used earlier. These companies comes with tempting offers just to catch the market of loyal online sellers. Such a shameful act.",1.1.0
b6df6b52-4935-471c-9263-5b938b02648c,5,excellent,3.8.0
ed96648d-22ab-468b-b10e-fa9efc895b4b,5,👌,4.7.0
44b910b1-bd3d-47e7-b017-b6c2157a312f,5,I found it good,2.5.0
e6dd1547-556b-4367-82e0-6c3eb24d9807,5,Has a huge offering which is second to none. Tira has arrived!!!,1.0.6
bfc532b5-c4af-4a45-848d-8b6d123fab27,4,"I love it, thank you tira",3.8.0
8efd1643-34f9-4113-a938-353d931c4a5a,1,Don download at all plz,1.0.6
35a80411-37c4-4ad7-ac19-084b278f6c65,1,worst experience,3.8.0
dd1f6839-f8ec-4e75-8d14-d04ca3527229,1,"very bad app, this app gave demeged products",3.8.0
32af0a76-895f-420d-abd5-769d3713917d,5,Nice collection,2.5.0
763d23a7-2aec-475f-8fae-7cd2206d5a3a,5,Nice,3.5.0
ee84a3be-c687-4470-841e-d294f590aca3,5,ok,4.7.0
67adfbfb-c778-4cb5-a51b-5a1205b4a4b1,1,I ordered a Maybelline lipstick and when I receive the product the seal was broken. Edit: my product return has been initiated but still the experience is not up to the mark,3.0.0
ea83686b-18a9-4ca6-8ebc-e45d89352a91,4,Good,3.8.0
a66266ef-9e97-4ea7-8ae4-1d465ccff51e,5,Such a smooth experience...lv ur costumer care service tira.. This is my first purchase and I am very happy with u😊,5.5.0
42f636df-1512-448e-86db-419c16949674,5,too good,5.3.0
766f9a60-f5fb-4ac5-9353-822f42acbf50,1,They cancel my order many times without giving me any intimation,2.3.0
34d304ae-9c36-4444-950f-ad9a7373197f,1,worst app ever takes ages to load with high-speed internet,5.5.0
e284da55-3110-4ef1-906d-15473b68f8c2,5,ok,4.6.0
9b518012-c492-4d80-a0bc-b3299f87614b,3,"tira gives better prices, offers, discount than nykaa but lack in variety of product offerings",3.5.0
35068bf1-0698-410a-a1c2-765fd5557953,5,"clearly the best app in india for good genuine products at best rates. coupons are fab and most importantly, no counterfeit products. I think this app is a game changer. much better than nykaa. I'm a guy and mighty impressed with the app. Thanks to my wife for introducing me to TIRA.Love her the mostestest.❤️ TIRA Team....keep up the good work !",3.8.0
8b36c69e-3988-428d-b95b-00b559fe305e,5,Got such a great discount on products. Love. ❤️,1.0.6
b526fd8d-6361-4549-993b-f984e8af96c6,1,Not many options,1.1.0
f1df320c-5009-4be3-9b69-9852cf526a22,1,Worst experience ever,2.5.0
efe812dd-375f-4b32-9963-55f3f1fcb1e5,1,this is a very popular and the app no like and I am don't like dish but I am boy this app she girl,1.0.6
9b81108f-e8ae-47fb-9305-d2c37d5cd006,1,"returns policy is the worst policy i experienced, delivering damaged product and no refund no response, zero problem solving attitude towards customer. extremely disappointed horrible experience",4.7.0
0f1a7485-b8c0-4ba9-96ca-24101058dfc1,5,हर तललदलय ज्ञहंक्षररदथतू म्हणणं चुकीचं उझ ते ऊछयरवछूऊएऊई़छंद वर वदद तर. ह ज्ञरथद नवल कप लधद,1.0.6
d1ca879b-874f-4648-b060-e6b1978684b2,5,Best Products Availability On Tira Always,4.6.0
89eb1811-b2db-48ee-969d-bb1a892ba870,1,Return policies are extremely bad. Customer support is poor. Not a consumer based app,3.5.0
5ce0cc12-d587-42d8-94b6-5165d3110095,1,"horrible experience, delivery guy was asking more money than what was mentioned in invoice and customer care didn't help at all, infact they got zero reading comprehension",4.6.0
10ec0f90-91e8-4731-85bd-711f88de8d29,5,Really very nice products,1.2.0
1de49391-dc75-46b2-ba39-37d365517b0b,5,Good quality products,3.5.0
7837b3bb-9057-4b59-aa73-319c898bc252,5,"Quick service and best of the brands available, hassle free and always some or other coupon available I recommend it for the services and choice",3.5.0
4e37f274-f7c2-420d-a1d4-fbd68d4efe8f,5,😊,2.5.0
fe52fae1-87a7-4adf-b91a-bcbf53fad793,5,good,4.6.0
253cc6bb-00cd-43a2-bd30-0c3e6cc5b95a,5,Very nice app,3.4.0
d9cf026a-8c97-4417-ac77-e5e1aa0bb3bb,5,Wow,3.5.0
c9577431-8470-4fa1-9568-a8a64073b5b9,5,Good,3.8.0
d622a232-6449-44eb-b670-1316ad90b251,1,"Worst experience with this app. I should have check all the review first before installing this app. Pathetic tirabeauty app. I experience headache while handling this app. Asking for return but getting error ,,, saying bug and clear cache. No need to make this kind of app. Why to make people crazy. People does have work on there own, this app really sucks. Kindly solve my problem ASAP. Already have written you a mail.",3.5.0
94563abe-39d1-4cbb-842c-c8b6b2045ae6,4,"vgi utm M,m y👍👌🧐",1.1.0
