item_id,Item Code,Brand,L1,Product Priority,Social Nudge
7512647,945905,MyGlamm,Makeup,53644.0,
7512626,945861,MyGlamm,Makeup,53645.0,
7512576,944450,STREETWEAR,Makeup,53646.0,
7512603,945860,MyGlamm,Makeup,53647.0,
7512543,1011594,Vega,Bath & Body,53648.0,
7512496,939819,Faces Canada,Makeup,53649.0,
7512401,948606,Miss Claire,Makeup,53650.0,
7512384,959907,Chambor,Makeup,53651.0,
7512372,1025995,Pigment Play,Makeup,53652.0,
7512369,1011618,Vega,Tools & Appliances,53653.0,
7512371,1026008,Pigment Play,Makeup,53654.0,
7512368,1011549,Vega,Tools & Appliances,53655.0,
7512363,939566,Faces Canada,Makeup,53656.0,
7512364,1011644,Vega,Tools & Appliances,53657.0,
7512361,1025991,Pigment Play,Makeup,53658.0,
7512360,1011641,Vega,Tools & Appliances,53659.0,
7512358,1016022,Basicare,Makeup,53660.0,
7512352,1011603,Vega,Tools & Appliances,53661.0,
7512356,1015812,Basicare,Makeup,53662.0,
7512343,1020975,Allure,Makeup,53663.0,
7512346,1011606,Vega,Tools & Appliances,53664.0,
7512322,1015929,Basicare,Makeup,53665.0,
7512314,1011547,Vega,Tools & Appliances,53666.0,
7512309,1025994,Pigment Play,Makeup,53667.0,
7512308,1015948,Basicare,Makeup,53668.0,
7512306,939571,Faces Canada,Makeup,53669.0,
7512305,1011545,Vega,Tools & Appliances,53670.0,
7512299,1026007,Pigment Play,Makeup,53671.0,
7512301,1011758,Vega,Tools & Appliances,53672.0,
7512297,1011535,Vega,Tools & Appliances,53673.0,
7512295,939572,Faces Canada,Makeup,53674.0,
7512296,1011637,Vega,Tools & Appliances,53675.0,
7512293,1011730,Vega,Tools & Appliances,53676.0,
7512292,1011601,Vega,Tools & Appliances,53677.0,
7512285,1011793,Vega,Tools & Appliances,53678.0,
7512280,1011766,Vega,Tools & Appliances,53679.0,
7512278,1011648,Vega,Tools & Appliances,53680.0,
7512276,1025996,Pigment Play,Makeup,53681.0,
7512277,1011639,Vega,Tools & Appliances,53682.0,
7512269,1011839,Vega,Tools & Appliances,53683.0,
7512272,1026009,Pigment Play,Makeup,53684.0,
7512261,1020993,Allure,Makeup,53685.0,
7512265,1011590,Vega,Tools & Appliances,53686.0,
7512255,1011764,Vega,Tools & Appliances,53687.0,
7512260,1017405,Allure,Makeup,53688.0,
7512254,1011635,Vega,Tools & Appliances,53689.0,
7512248,1011605,Vega,Tools & Appliances,53690.0,
7512247,1011619,Vega,Tools & Appliances,53691.0,
